id,name,party,sector,country
Ursula ,Ursula von der Leyen,CDU,Politik,Europa
Lars,Lars Klingbeil,SPD,Politik,Deutschland
Norbert,Norbert Röttgen,CDU,Politik,Deutschland
Constanze,Constanze Stelzenmüller,,Recht,USA
Christian,Christian Lindner,FDP,Politik,Deutschland
Karl ,Karl Schlögel,,Historie,Deutschland
Ljudmyla,Ljudmyla Melnyk,,Wissenschaft,Ukraine
Kristina,Kristina Dunz,,Journalismus,Deutschland
Annalena,Annalena Baerbock,Die Grünen,Politik,Deutschland
Andrij,Andrij Melnyk,,Politik,Ukraine
Alexander ,Alexander Graf,FDP,Politik,Deutschland
Egon,Egon Ramms,,Bundeswehr,Deutschland
Sahra,Sahra Wagenknecht,Die Linke,Politik,Deutschland
Robert,Robert Habeck,Die Grünen,Politik,Deutschland
Claudia,Claudia Major,,Wissenschaft,Deutschland
Katja,Katja Petrowskaja,,Journalismus,Ukraine
Roderich,Roderich Kiesewetter,CDU,Politik,Deutschland